River,TransectPair,Site,HeightClass,HeightCm,Bank,CountSp,CountSpPerM,CountInd,CountIndPerM,ShanDiv,CountInvSp,CountInvSpPerM,CountNatSp,CountNatSpPerM,CountInvInd,CountInvIndPerM,CountNatInd,CountNatIndPerM,InvHerbCov,NatHerbCov,SQRTCountInd,SQRTShanDiv,SQRTCountInvInd,SQRTCountInvIndPerM,SQRTCounNattInd,SQRTCountNatIndPerM,SQRTASINInvHerbCov,SQRTASINNatHerbCov
Ballston,B1A,B1,high,77,Greenline,29,2.3,278,25.8,2.51,2,0.2,26,2.016666667,79,7.9,197,17.71666667,0.03825,0.396,16.673332,1.584297952,8.888194417,2.810693865,14.03566885,4.209117089,0.195599931,0.638088256
Ballston,B1B,B1,low,17,Greenline,30,2.8,467,45.8,2.46,7,0.7,21,1.865217391,56,5.6,410,40.06086957,0.069,0.54,21.61018278,1.568438714,7.483314774,2.366431913,20.24845673,6.329365653,0.262782931,0.755272871
Ballston,B2A,B2,high,82,Greenline,21,1.3,178,12.4,1.56,0,0,19,1.13255814,0,0,176,12.22790698,0,0.02525,13.34166406,1.2489996,0,0,13.26649916,3.49684243,0,0.158910931
Ballston,B2B,B2,low,19,Greenline,44,3.8,309,29.1,3.05,5,0.42,34,2.84,46,4.52,247,22.94,0.048,0.43875,17.57839583,1.74642492,6.782329983,2.126029163,15.71623365,4.789572006,0.219131127,0.673948931
Ballston,B1A,B1,high,177,Upslope,19,1.3,122,10.3,1.23,1,0.041666667,17,1.175,3,0.125,114,9.65,0,0.21125,11.04536102,1.109053651,1.732050808,0.353553391,10.67707825,3.106444913,0,0.461360645
Ballston,B1B,B1,low,117,Upslope,15,0.8,95,6.1,1.03,0,0,14,0.669811321,0,0,75,4.09245283,0,0.02475,9.746794345,1.014889157,0,0,8.660254038,2.022981174,0,0.157329362
Ballston,B2A,B2,high,182,Upslope,15,0.8,92,6.2,0.95,0,0,15,0.833333333,0,0,92,6.2,0,0.02325,9.591663047,0.974679434,0,0,9.591663047,2.48997992,0,0.152486376
Ballston,B2B,B2,low,119,Upslope,32,1.8,151,7.7,1.87,4,0.319230769,26,1.307692308,19,1.738461538,126,5.330769231,0.01425,0.0615,12.28820573,1.367479433,4.358898944,1.318507314,11.22497216,2.308845866,0.119375383,0.24807022
Indian,I1A,I1,high,65,Greenline,51,4.2,744,68.9,5.12,6,0.381081081,42,3.47027027,90,7.175675676,627,58.97837838,0.02325,0.37425,27.27636339,2.2627417,9.486832981,2.678745168,25.03996805,7.679738171,0.152486376,0.619344708
Indian,I1B,I1,low,30,Greenline,33,2.5,452,44,2.09,5,0.235135135,25,2.062162162,192,18.76216216,243,23.4972973,0.10825,0.125,21.26029163,1.445683229,13.85640646,4.331531157,15.58845727,4.847401087,0.329336509,0.35401671
Indian,I2A,I2,high,99,Greenline,35,3.1,356,34.7,2.67,0,0,31,2.713636364,0,0,319,30.97272727,0,0.4465,18.86796226,1.634013464,0,0,17.8605711,5.56531466,0,0.680330761
Indian,I2B,I2,low,13,Greenline,38,3.6,340,33.5,1.88,6,0.6,28,2.566666667,31,3.1,299,32.033333,0.0405,0.31,18.43908891,1.37113092,5.567764363,1.760681686,17.29161647,5.659799731,0.201273645,0.561420548
Indian,I1A,I1,high,165,Upslope,48,3.1,421,27.7,3.96,6,0.271428571,39,2.667857143,117,8.660714286,299,20.125,0.05,0.258,20.51828453,1.989974874,10.81665383,2.942909154,17.29161647,4.486089611,0.223653431,0.510834167
Indian,I1B,I1,low,130,Upslope,28,1.6,115,7.3,1.47,4,0.327777778,24,1.388888889,10,0.783333333,105,6.527777778,0.0045,0.07025,10.72380529,1.212435565,3.16227766,0.885061203,10.24695077,2.55495162,0.067082151,0.265156388
Indian,I2A,I2,high,199,Upslope,16,1.3,95,8.6,1.01,0,0,14,1.086956522,0,0,86,7.739130435,0,0.231,9.746794345,1.004987562,0,0,9.273618495,2.781929265,0,0.482809855
Indian,I2B,I2,low,113,Upslope,39,3.4,396,38.3,3.19,4,0.4,32,2.733333333,9,0.9,281,26.77777778,0.006,0.4105,19.89974874,1.78605711,3,0.948683298,16.76305461,5.174724899,0.077459899,0.650386288
Kayaderosseras,K1A,K1,high,196,Greenline,17,1.7,393,39.3,2.23,3,0.3,9,0.9,144,14.4,160,16,0.2475,1.029,19.8242276,1.493318452,12,3.794733192,12.64911064,4,0.500099113,1.253314137
Kayaderosseras,K1B,K1,low,29,Greenline,34,3.1,1220,53.6,0.95,8,0.8,21,1.774074074,123,12.3,1042,35.83703704,0.11075,0.30525,34.92849839,0.974679434,11.09053651,3.507135583,32.28002478,5.98640435,0.333133098,0.556956864
Kayaderosseras,K2A,K2,high,126,Greenline,47,3.4,331,29.7,3.42,12,0.948387097,32,2.277419355,72,6.780645161,246,21.66451613,0.112,0.37775,18.1934054,1.849324201,8.485281374,2.603967197,15.68438714,4.654515671,0.33501565,0.622386568
Kayaderosseras,K2B,K2,low,34,Greenline,19,1.3,311,28.7,1.68,5,0.415384615,12,0.692307692,40,3.830769231,126,10.4,0.0965,0.08975,17.63519209,1.29614814,6.32455532,1.957235099,11.22497216,3.224903099,0.310886479,0.299784804
Kayaderosseras,K1A,K1,high,296,Upslope,12,1.1,266,26.3,1.69,4,0.4,7,0.62,65,6.5,132,12.88,0.30075,0.3945,16.30950643,1.3,8.062257748,2.549509757,11.48912529,3.588871689,0.552701515,0.636807393
Kayaderosseras,K1B,K1,low,129,Upslope,31,2.9,634,62.8,2.39,7,0.7,21,1.856603774,69,6.9,214,20.83207547,0.215,0.34925,25.17935662,1.545962483,8.306623863,2.626785107,14.62873884,4.564216852,0.465501697,0.597302757
Kayaderosseras,K2A,K2,high,226,Upslope,26,1.9,256,23,2.22,7,0.54,18,1.24,148,14.48,102,7.88,0.1115,0.273,16,1.489966443,12.16552506,3.805259518,10.09950494,2.80713377,0.33426387,0.525842292
Kayaderosseras,K2B,K2,low,134,Upslope,26,1.8,204,16.5,1.86,5,0.246875,19,1.39375,53,2.009375,142,13.609375,0.0555,0.2245,14.28285686,1.36381817,7.280109889,1.41752425,11.91637529,3.689088641,0.235644928,0.475846518
