Trait,Acalypha rhomboidea,Acer saccharum,Adiantum pedatum,Ageratina altissima,Agrimonia gryposepala,Agrostis perennans,Agrostis scabra,Alisma subcordatum,Alliaria petiolata,Ambrosia artemisiifolia,Ambrosia trifida,Amphicarpaea bracteata,Anemone canadensis,Apios americana,Arctium lappa,Arisaema triphyllum,Asarum canadense,Athyrium filix-femina,Bidens connata,Bidens frondosa,Boehmeria cylindrica,Brassica nigra,Bromus ciliatus,Calystegia sepium,Carex bullata,Caulophyllum thalictroides,Chamaesyce maculata,Chelone glabra,Cicuta maculata,Cinna arundinacea,Circaea lutetiana,Clematis virginiana,Cryptotaenia canadensis,Cynodon dactylon,Cyperus compressus,Cyperus strigosus,Dactylis glomerata,Daucus carota,Decodon verticillatus,Dichanthelium clandestinum,Didiplis diandra,Digitaria cognata,Digitaria sanguinalis,Dryopteris camyloptera,Dryopteris carthusiana,Dryopteris marginalis,Echinochloa muricata,Echinocystis lobata,Eleocharis intermedia,Elymus canadensis,Elymus virginicus,Epilobium hirsutum,Eupatorium purpureum,Eurybia divaricata,Eutrochium purpureum,Fallopia japonica,Fragaria vesca,Galium aparine,Galium asprellum,Galium boreale,Galium palustre,Galium triflorum,Geranium maculatum,Geum laciniatum,Glechoma hederacea,Glyceria borealis,Halenia deflexa,Helianthus giganteus,Helianthus strumosus,Heliopsis helianthoides,Hemerocallis fulva,Hieracium paniculatum,Hydrocotyle americana,Hylotelephium telephium,Hypericum mutilum,Impatiens capensis,Impatiens pallida,Lactuca canadensis,Laportea canadensis,Leersia oryzoides,Lobelia cardinalis,Ludwigia palustris,Lycopus uniflorus,Lysimachia ciliata,Lysimachia nummularia,Lysimachia vulgaris,Lythrum salicaria,Maianthemum canadense,Maianthemum racemosum,Marrubium vulgare,Matteuccia struthiopteris,Menispermum canadense,Mimulus ringens,Mitchella repens,Mollugo verticillata,Muhlenbergia mexicana,Muhlenbergia schreberi,Muhlenbergia sobolifera,Myosotis laxa,Myosoton aquaticum,Oenothera biennis,Onoclea sensibilis,Oxalis grandis,Oxalis stricta,Panicum capillare,Panicum dichotomiflorum,Parthenocissus quinquefolia,Paspalum setaceum,Pastinaca sativa,Peltandra virginica,Penthorum sedoides,Petasites frigidus,Phytolacca americana,Pilea pumila,Plantago major,Polygonum arifolium,Polygonum cespitosum,Polygonum hydropiper,Polygonum hydropiperoides,Polygonum lapathifolium,Polygonum persicaria,Polygonum sagittatum,Polygonum virginianum,Polystichum acrostichoides,Potentilla simplex,Prunella vulgaris,Ranunculus recurvatus,Rhamnus cathartica,Rubus allegheniensis,Rubus hispidus,Rubus occidentalis,Rubus odoratus,Rubus pubescens,Rumex obtusifolius,Rumex triangulivalvis,Sanicula odorata,Scirpus polyphyllus,Scutellaria lateriflora,Sinapis arvensis,Smilax glauca,Solanum dulcamara,Solanum ptycanthum,Solidago altissima,Solidago canadensis,Solidago flexicaulis,Solidago gigantea,Stellaria pubera,Symphyotrichum dumosum,Symphyotrichum lateriflorum,Teucrium canadense,Thalictrum pubescens,Thalictrum thalictroides,Thelypteris noveboracensis,Thelypteris palustris,Toxicodendron radicans,Trifolium arvense,Trifolium campestre,Trifolium pratense,Trifolium repens,Urtica dioica,Veronica americana,Viola fimbriatula,Viola pubescens,Vitis riparia,Xanthium strumarium
Dispersal syndrome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dispersal unit dry mass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.12,NA,NA,NA,12.13,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97,NA,NA,0.26,NA,NA,0.87,1.09,NA,NA,NA,NA,0.97,NA,NA,NA,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,8.34,NA,0.61,0.91,NA,NA,NA,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18,NA,NA,NA,NA,NA,NA,NA,NA,0.24,NA,NA,NA,NA,NA,0.43,NA,NA,NA,3.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,NA,15.09,NA,NA,NA,0.99,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173333333,NA,NA,NA,NA,NA
Dispersal unit length,NA,NA,NA,NA,NA,NA,1.366666667,NA,NA,2.75,6.75,NA,NA,NA,19.58,NA,NA,NA,NA,9.356666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.11,NA,NA,2,NA,NA,4.95,3.46,NA,NA,NA,NA,2.656666667,NA,NA,NA,3.285,47.5,NA,NA,NA,NA,NA,NA,NA,3.5,6.135,3.2,NA,1.95,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19,NA,NA,NA,NA,NA,NA,NA,NA,1.53,NA,NA,NA,NA,NA,1.833333333,2.52,NA,NA,6.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77,NA,6.085,NA,NA,NA,1.66,NA,2.29,NA,NA,NA,NA,NA,NA,10,NA,NA,1.18,NA,1.983333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,4.38,1.73,NA,NA,NA,NA,13
Dispersal unit thickness,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,3.55,NA,NA,NA,1.53,NA,NA,NA,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA,NA,NA,NA,NA,0.896666667,1.1,NA,NA,NA,NA,0.61,NA,NA,NA,1.105,35,NA,NA,NA,NA,NA,NA,NA,NA,0.61,2.28,NA,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,NA,5.1,NA,NA,NA,0.64,NA,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,NA,NA,NA,NA,7.5
Dispersal unit width,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,4.79,NA,NA,NA,17.55,NA,NA,NA,NA,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27,NA,NA,NA,NA,NA,1.13,2.703333333,NA,NA,NA,NA,0.98,NA,NA,NA,1.555,35,NA,NA,NA,NA,NA,NA,NA,2,4.89,2.63,NA,0.98,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,0.86,NA,NA,NA,4.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,NA,5.165,NA,NA,NA,1.08,NA,1.4,NA,NA,NA,NA,NA,NA,10,NA,NA,0.35,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65,1.35,1.156666667,NA,NA,NA,NA,7.5
Germination efficiency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germination requirement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf area,NA,50.94875,NA,NA,17.34,NA,NA,NA,5640.99,3781.883333,5504.723333,NA,NA,NA,26087.22444,62.465,NA,67730,1020.833333,4266.033333,NA,7031.153333,6.077,3208,NA,NA,NA,NA,NA,NA,1770.616667,NA,NA,119.9833333,NA,NA,126.350597,11.17058824,NA,NA,NA,NA,294.0333333,NA,18468,NA,NA,NA,NA,12.01,NA,1893.973333,NA,NA,NA,NA,1208.1475,97.412,NA,16.5845,9.732857143,NA,NA,NA,356.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.63857143,15.801,NA,NA,NA,NA,254.915,NA,NA,273.288,1732.376667,260.4545833,14.5725,17.06333333,429.815,48201.68,NA,6.19,NA,NA,NA,NA,NA,264.425,1014.335,2224.563077,71.65891892,NA,7.432857143,45.673,NA,57.0644,NA,14914.5,NA,5.3725,NA,NA,NA,2250.62,NA,NA,544.3375,NA,4686.972,538.3722222,10.004,NA,NA,5.95,218.224,NA,568.902973,NA,NA,NA,NA,NA,21959.21625,NA,NA,NA,5.2825,NA,NA,1414.892542,NA,NA,11.2918109,NA,509.1866667,NA,NA,NA,NA,NA,NA,NA,10907.38,NA,NA,NA,74.21464286,35.30244898,864.8911111,NA,NA,NA,42.48857143,3517.644286
Leaf carbon (C) content per area,NA,36.34444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.66666667,NA,NA,NA,NA,NA,NA
Leaf carbon (C) content per dry mass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.39,NA,NA,43.73,46.01,NA,NA,NA,NA,NA,NA,42.805,NA,NA,463,NA,NA,340.28,256.506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.82,NA,NA,NA,NA,NA,45.63333333,477,NA,NA,197.5363158,NA,NA,NA,NA,42.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,243.5925,43.862,44.15666667,NA,NA,46.99666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.89,43.188,NA,NA,41.476,NA,43.745,NA,NA,NA,NA,NA,NA,NA,35.12375,NA,NA,45.322,NA,NA,44.298,44.986,NA,NA,NA,460.2383333,NA,43,NA,NA,NA,NA,NA,285.545,NA,NA,NA,NA,NA,NA,45.07,NA,NA,46.318,NA,48.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360.4633333,396.84,113.664,NA,NA,NA,43.1325,39.17
Leaf carbon/nitrogen (C/N) ratio,NA,27.85,NA,NA,NA,NA,NA,NA,11.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.15,NA,NA,NA,14.71,NA,NA,NA,NA,NA,NA,16.392,NA,NA,NA,NA,NA,17.45,22.52666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.41,34.49,NA,NA,NA,NA,NA,NA,NA,15.6275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.146,21.78125,30.264,NA,NA,16.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.076,24.958,NA,NA,25.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.616,NA,NA,19.888,NA,NA,37.688,22.336,NA,NA,NA,NA,NA,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.36,NA,NA,24.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.35571429,10.672,9.4025,NA,NA,NA,NA,13.86
Leaf density,NA,0.404117647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.414285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,0.566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.469,NA,NA,NA,NA,NA,NA,NA
Leaf dry mass,NA,51.57428571,NA,NA,42.125,NA,NA,NA,213.94,123.08,214.2666667,NA,NA,NA,1564.205333,164.375,NA,5603.08,20.56,115.7083333,NA,261.0466667,0.035555556,90.885,NA,NA,NA,NA,NA,NA,69.45,NA,NA,5.051111111,NA,NA,5.305396825,0.862264151,NA,NA,NA,NA,8.62,NA,232.0125,NA,NA,NA,NA,NA,NA,113.63,NA,NA,NA,NA,112.2333333,5.595,NA,3.435714286,0.211428571,NA,NA,NA,15.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.424285714,0.02,NA,NA,NA,NA,7.370833333,NA,NA,9.35,92.434,10.40809524,4.524285714,0.076666667,25.705,2439.606316,NA,NA,NA,NA,NA,NA,NA,5.49,19.54857143,3.441428571,0.235135135,NA,0.362857143,0.196,NA,NA,NA,382.975,NA,NA,NA,NA,NA,63.75714286,NA,NA,10.4,NA,185.505,25.57888889,0.023333333,NA,NA,9.485,8.684,NA,47.894,NA,NA,NA,NA,NA,924.2216667,NA,NA,NA,NA,NA,NA,65.95444444,NA,NA,0.139262821,NA,83.71,NA,NA,NA,NA,NA,NA,NA,387.6625,NA,NA,NA,14.14709677,1.636603774,73.24,NA,NA,NA,0.166666667,123.7766667
Leaf dry mass per plant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,NA,NA,11.39,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.492,0.188,NA,NA,5.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.582,1.106,NA,0.1,0.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68,NA,NA,2.436,NA,NA,0.524,0.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,0.636,NA,NA,NA,NA,NA,NA
