Trait,Acalypha rhomboidea,Acer saccharum,Adiantum pedatum,Ageratina altissima,Agrimonia gryposepala,Agrostis perennans,Agrostis scabra,Alisma subcordatum,Alliaria petiolata,Ambrosia artemisiifolia,Ambrosia trifida,Amphicarpaea bracteata,Anemone canadensis,Apios americana,Arctium lappa,Arisaema triphyllum,Asarum canadense,Athyrium filix-femina,Bidens connata,Bidens frondosa,Boehmeria cylindrica,Brassica nigra,Bromus ciliatus,Calystegia sepium,Carex bullata,Caulophyllum thalictroides,Chamaesyce maculata,Chelone glabra,Cicuta maculata,Cinna arundinacea,Circaea lutetiana,Clematis virginiana,Cryptotaenia canadensis,Cynodon dactylon,Cyperus compressus,Cyperus strigosus,Dactylis glomerata,Daucus carota,Decodon verticillatus,Dichanthelium clandestinum,Didiplis diandra,Digitaria cognata,Digitaria sanguinalis,Dryopteris camyloptera,Dryopteris carthusiana,Dryopteris marginalis,Echinochloa muricata,Echinocystis lobata,Eleocharis intermedia,Elymus canadensis,Elymus virginicus,Epilobium hirsutum,Eupatorium purpureum,Eurybia divaricata,Eutrochium purpureum,Fallopia japonica,Fragaria vesca,Galium aparine,Galium asprellum,Galium boreale,Galium palustre,Galium triflorum,Geranium maculatum,Geum laciniatum,Glechoma hederacea,Glyceria borealis,Halenia deflexa,Helianthus giganteus,Helianthus strumosus,Heliopsis helianthoides,Hemerocallis fulva,Hieracium paniculatum,Hydrocotyle americana,Hylotelephium telephium,Hypericum mutilum,Impatiens capensis,Impatiens pallida,Lactuca canadensis,Laportea canadensis,Leersia oryzoides,Lobelia cardinalis,Ludwigia palustris,Lycopus uniflorus,Lysimachia ciliata,Lysimachia nummularia,Lysimachia vulgaris,Lythrum salicaria,Maianthemum canadense,Maianthemum racemosum,Marrubium vulgare,Matteuccia struthiopteris,Menispermum canadense,Mimulus ringens,Mitchella repens,Mollugo verticillata,Muhlenbergia mexicana,Muhlenbergia schreberi,Muhlenbergia sobolifera,Myosotis laxa,Myosoton aquaticum,Oenothera biennis,Onoclea sensibilis,Oxalis grandis,Oxalis stricta,Panicum capillare,Panicum dichotomiflorum,Parthenocissus quinquefolia,Paspalum setaceum,Pastinaca sativa,Peltandra virginica,Penthorum sedoides,Petasites frigidus,Phytolacca americana,Pilea pumila,Plantago major,Polygonum arifolium,Polygonum cespitosum,Polygonum hydropiper,Polygonum hydropiperoides,Polygonum lapathifolium,Polygonum persicaria,Polygonum sagittatum,Polygonum virginianum,Polystichum acrostichoides,Potentilla simplex,Prunella vulgaris,Ranunculus recurvatus,Rhamnus cathartica,Rubus allegheniensis,Rubus hispidus,Rubus occidentalis,Rubus odoratus,Rubus pubescens,Rumex obtusifolius,Rumex triangulivalvis,Sanicula odorata,Scirpus polyphyllus,Scutellaria lateriflora,Sinapis arvensis,Smilax glauca,Solanum dulcamara,Solanum ptycanthum,Solidago altissima,Solidago canadensis,Solidago flexicaulis,Solidago gigantea,Stellaria pubera,Symphyotrichum dumosum,Symphyotrichum lateriflorum,Teucrium canadense,Thalictrum pubescens,Thalictrum thalictroides,Thelypteris noveboracensis,Thelypteris palustris,Toxicodendron radicans,Trifolium arvense,Trifolium campestre,Trifolium pratense,Trifolium repens,Urtica dioica,Veronica americana,Viola fimbriatula,Viola pubescens,Vitis riparia,Xanthium strumarium
"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",NA,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.521428571,5.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.421666667,0.48,0.83,NA,NA,NA,NA,NA,0.62,NA,NA,28.24285714,NA,NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.486,NA,NA,NA,0.295,0.42,NA,NA,NA,NA,0.66,27.33857143,59.008,NA,NA,59.794,NA,0.71,NA,NA,NA,NA,NA,0.61,NA,10.18428571,24.406,NA,30.074,18.56071429,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2825,NA,NA,14.804,NA,0.394,40.842,16.018,NA,NA,NA,0.574,NA,0.43,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,0.5,NA,NA,29.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.49125,27.81166667,0.67,NA,NA,NA,NA,NA
Leaf dry matter content (LDMC),NA,0.838333333,NA,NA,0.87,NA,NA,NA,161.3333333,151.7066667,189.4116667,NA,NA,NA,194.3322222,NA,NA,292,114.8666667,177.065,NA,128.92,0.27,184,NA,NA,NA,NA,NA,NA,193.5,NA,NA,236.7985714,NA,NA,106.8011392,37.06779661,NA,NA,NA,NA,171.2566667,NA,266.792,NA,NA,NA,NA,NA,NA,208,NA,NA,NA,NA,508.7,140,NA,312.2671429,117.1041176,NA,NA,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,0.783,NA,NA,NA,NA,205.1233333,NA,NA,223.0642857,237.8045455,44.40857143,0.418333333,NA,221,106.6991667,NA,0.2,NA,NA,NA,NA,NA,120.786,109.282,21.524,0.212162162,NA,0.323333333,22.79,NA,NA,NA,152,NA,0.24,NA,NA,NA,52.5096875,NA,NA,96.11909091,NA,175.9166667,81.568,0.637333333,NA,NA,0.9,132.17,NA,3.148709677,NA,NA,NA,NA,NA,146.6166667,NA,NA,NA,0.29,NA,NA,38.85953846,NA,NA,1.007291667,NA,308,NA,NA,NA,NA,NA,NA,NA,207.826,NA,NA,NA,146.8051111,94.87068966,220.6916667,NA,NA,NA,0.233333333,199.62375
Leaf fresh mass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248163265,0.256938776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.488,0.188,NA,NA,2054.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.972,1.184594595,NA,0.11,0.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.531666667,NA,NA,0.28,NA,NA,0.398,0.186,NA,NA,NA,0.0475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214206219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0.1025,NA,NA,NA,NA,0.71,NA
Leaf lamina thickness,NA,190.745,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,NA,0.146666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185,NA,NA,NA,NA,NA,0.175,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,NA,0.28,NA,NA,NA,NA,NA,0.21,NA,NA,NA,NA,0.14,NA,0.2,NA,NA,NA,NA,NA,0.26,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.16,0.2,NA,NA,NA,NA,NA
Leaf lifespan,NA,5.5,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.836666667,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,NA,NA,NA,NA,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,6.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01,0.34,NA,NA,NA,NA,NA
Leaf nitrogen (N) content,NA,13.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.235,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42,NA,NA,0.2,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.575,NA,NA,NA,NA,NA,18.08,NA,NA,NA,NA,NA,NA,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.635,0.41,NA,NA,NA,NA,NA,NA
Leaf nitrogen (N) content per area,NA,1.118,NA,NA,NA,NA,1.43,NA,NA,28.34,2.48,NA,NA,NA,NA,1.67,NA,NA,NA,73.49,NA,NA,0.81,NA,NA,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.273333333,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,1.4,NA,NA,NA,NA,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.68,NA,NA,NA,NA,NA,3.58,83.27,NA,NA,NA,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.13,NA,NA,NA,NA,NA,NA,1.27,NA,NA,63.82,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,1.924,NA,1.4,NA,NA,NA,1.34,NA,NA,NA,NA,NA,NA,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.6,NA,NA,NA,NA,NA,137.7
Leaf nitrogen (N) content per dry mass,NA,5.409195402,NA,NA,NA,NA,5.95,NA,21.03,9.9,4.41,NA,1.1,NA,NA,20.23285714,NA,NA,NA,2.073333333,NA,NA,1.305,3.16,NA,31.0125,NA,NA,1.21,NA,5.365,NA,NA,20.22,NA,NA,14.55021277,13.23538462,1.89,NA,NA,1.29,1.26,NA,2.404,NA,NA,NA,NA,32.94,NA,3.164285714,1.5,NA,NA,2.3,7.691666667,2.986,NA,16.08545455,NA,1.941666667,1.77,NA,7.46125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.706666667,1.3,NA,1.77,18.03333333,NA,NA,NA,1.25,1.71,15.598,7.37,1.705555556,NA,NA,2.871818182,NA,31.54,1.38,2.23,NA,NA,NA,NA,NA,9.631111111,1.802,NA,NA,1.675833333,NA,NA,NA,NA,2.15,NA,2.313333333,NA,NA,20.63181818,NA,NA,2.352,NA,9.622,1.222,2.13,NA,NA,NA,16.87636364,NA,15.693,2.18,1.965,1.57,2.8,1.935,13.87714286,NA,NA,NA,NA,NA,NA,18.868,NA,NA,1.68,NA,1.1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.915625,30.9675,10.77416667,NA,NA,NA,1.57,2.266666667
Leaf nitrogen/phosphorus (N/P) ratio,NA,13.14913043,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,3.55,NA,NA,7.0975,NA,NA,NA,NA,NA,NA,8.45,NA,NA,5.9,NA,NA,7.12,NA,10.51,NA,NA,20.97,NA,NA,10.262,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.04,6.82,NA,NA,NA,5.105,11.16333333,NA,9.06,NA,9.526666667,4.78,NA,8.326363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4.81,NA,7.08,NA,NA,NA,NA,5.95,6.68,NA,NA,7.5075,NA,NA,NA,NA,NA,11.03333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.715,NA,11.44,NA,NA,16.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.83,NA,15.91,8.38,15.7775,6.54,20,5.155,NA,NA,NA,NA,NA,NA,NA,11.14,NA,NA,4.41,NA,6.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.09,NA,9.821111111,NA,NA,NA,5.61,NA
Leaf phosphorus (P) content per area,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf phosphorus (P) content per dry mass,NA,1530.148696,NA,NA,NA,NA,NA,NA,2750.595,NA,NA,NA,3100,NA,NA,3025,NA,NA,NA,0.26,NA,NA,550.1,0.19,NA,3100,NA,NA,1700,NA,865.205,NA,NA,1.735,NA,NA,343.20375,2.538,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100.194286,2200,NA,NA,0.186666667,3600.105714,1140.2,NA,1000.712,NA,2166.666667,3700,NA,2619.708667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2600,2700,NA,2500,NA,NA,NA,NA,2100,2560,1.1375,1.5,2550,NA,NA,NA,NA,NA,1100.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2700,NA,0.27,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577.555,NA,511.8,2600,615.1975,2400,0.14,3750,4.14,NA,NA,NA,NA,NA,NA,581.3706667,NA,NA,2550,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.1276471,2.026153846,2359.534,NA,NA,NA,2800,0.23
Leaf physical strength,NA,NA,NA,NA,NA,NA,NA,NA,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.378333333,NA,NA,82.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.385,NA,NA,NA,NA,NA,0.64,NA,NA,3.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,1.18,NA,NA,NA,NA,NA,0.94,NA,NA,NA,NA,3.3,NA,2.09,NA,NA,NA,NA,NA,29.41333333,NA,NA,NA,NA,NA,NA,1.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.105,4.392857143,0.7925,NA,NA,NA,NA,NA
Leaf porosity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.25,NA,NA,NA,NA,10
Leaf potassium (K) content per area,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf potassium (K) content per dry mass,NA,0.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.76,NA,NA,NA,NA,NA,NA,NA,7.136666667,NA,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.43,NA,10.13666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf respiration per dry mass,NA,6.478369565,NA,NA,NA,NA,25.48,NA,NA,20.7825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.49692308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf specific area (SLA),NA,125.9269811,25.4,NA,206,NA,118,NA,41.94666667,53.8925,41.88222222,NA,NA,NA,17.33111111,152,NA,15.66666667,54.67333333,5972.148333,NA,26.26,74.237,4646.356429,NA,170,NA,NA,NA,NA,23706.81889,NA,NA,31.557,NA,NA,52.17337838,28.13317647,NA,NA,NA,NA,46.908,NA,26.86166667,41.4,NA,NA,NA,301.3457143,404.5,52.85777778,NA,NA,NA,21492.92333,42.18555556,59.39918919,NA,30.23166667,129.1442308,NA,NA,NA,2495.267143,NA,NA,NA,NA,16.43,NA,NA,NA,NA,NA,426.4333333,807.947,NA,NA,256.94,263.3,31.76166667,NA,NA,30.86333333,4004.168889,128.9616129,272.8628571,45.35666667,38.3625,96.354,NA,311.3685714,NA,NA,NA,NA,NA,66.158,63.22,149.6725581,68.14236842,NA,396.578,211.175,NA,117.28,NA,32.93333333,NA,461.775,40.63833333,159.23,NA,73.34719101,NA,NA,199.1263636,NA,68.06096774,68.86478261,578.088,NA,54.8,314,91.05814815,NA,46.76952381,NA,144.47,NA,NA,NA,48.77483871,NA,NA,NA,394.1625,NA,NA,748.933,NA,NA,20.98364501,NA,20.25,NA,NA,NA,NA,NA,NA,21.1,30.694,38.29,NA,NA,81.04977528,50.88778846,6989.201111,NA,NA,NA,32.77666667,3136.861818
Leaf texture (sclerophylly),NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.315,NA,NA,NA,NA,NA,NA,0.1,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf thickness,NA,126.605,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.16,NA,NA,0.2,NA,0.16,NA,NA,NA,NA,NA,NA,NA,126.2333333,NA,NA,0.08,133.75,NA,NA,NA,NA,NA,0.105,NA,NA,NA,221.042,NA,NA,NA,NA,264.5,0.17,NA,NA,NA,0.11,166.832,NA,130.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1175,NA,NA,89.64666667,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA
