Site,Stream,Elev,Acalypha rhomboidea,Acer negundo,Acer platanoides,Acer rubrum,Acer saccharinum,Acer saccharum,Acer spicatum,Adiantum pedatum,Ageratina altissima,Agrimonia gryposepala,Agrostis perennans,Agrostis scabra,Alisma subcordatum,Alliaria petiolata,Ambrosia artemisiifolia,Ambrosia trifida,Amelanchier arborea,Amphicarpaea bracteata,Anemone canadensis,Apios americana,Arctium lappa,Arisaema triphyllum,Asarum candense,Athyrium filix-femina var. angustum,Berberis thunbergii,Betula alleghaniensis,Betula lenta,Betula populifolia,Bidens connata,Bidens frondosa,Boehmeria cylindrica,Brassica nigra,Bromus ciliatus,Calystegia sepium,Carex bullata,Carex sp.,Carpinus caroliniana,Carya cordiformis,Carya ovata,Catalpa speciosa,Caulophyllum thalictroides,Cephalanthus occidentalis,Chamaesyce maculata,Chelone glabra,Cicuta maculata,Cinna arundinacea,Circaea lutetiana ssp. canadensis,Clematis virginiana,Cornus obliqua,Cornus rugosa,Cornus sericea,Crataegus sp.,Cryptotaenia canadensis,Cynodon dactylon,Cyperus compressus,Cyperus strigosus,Dactylis glomerata,Daucus carota,Decodon verticillatus,Dichanthelium clandestinum,Didiplis diandra,Digitaria cognata,Digitaria sanguinalis,Dryopteris camyloptera,Dryopteris carthusiana,Dryopteris marginalis,Echinochloa muricata,Echinocystis lobata,Eleocharis intermedia,Elymus canadensis,Elymus virginicus,Epilobium hirsutum,Equisetum sp.,Euonymus alatus,Eupatorium purpureum,Eurybia divaricata,Eutrochium purpureum,Fagus grandifolia,Fallopia japonica,Fragaria vesca,Fraxinus americana,Fraxinus nigra,Galium aparine,Galium asprellum,Galium boreale,Galium palustre,Galium triflorum,Geranium maculatum,Geum laciniatum,Glechoma hederacea,Glyceria borealis,Halenia deflexa,Hamamelis virginiana,Helianthus giganteus,Helianthus strumosus,Heliopsis helianthoides,Hemerocallis fulva,Hieracium paniculatum,Hydrocotyle americana,Hylotelephium telephium,Hyperium mutilum,Impatiens capensis,Impatiens pallida,Juglans cinerea,Lactuca canadensis,Laportea canadensis,Leersia oryzoides,Lobelia cardinalis,Ludwigia palustris,Lycopus uniflorus,Lysimachia ciliata,Lysimachia nummularia,Lysimachia vulgaris,Lythrum salicaria,Maianthemum canadense,Maianthemum racemosum ssp. racemosum,Malus pumila,Marrubium vulgare,Matteuccia struthiopteris,Menispermum canadense,Mimulus ringens,Mitchella repens,Muhlenbergia mexicana,Muhlenbergia schreberi,Muhlenbergia sobolifera,Myosotis laxa,Myosoton aquaticum,Oenothera biennis,Onoclea sensibilis,Ostrya virginiana,Oxalis grandis,Oxalis stricta,Panicum capillare,Panicum dichotomiflorum,Parthenocissus quinquefolia,Paspalum setaceum,Pastinaca sativa,Peltandra virginica,Penthorum sedoides,Petasites frigidus,Phytolacca americana,Pilea pumila,Pinus strobus,Plantago major,Polygonum arifolium,Polygonum cespitosum,Polygonum hydropiper,Polygonum hydropiperoides,Polygonum lapathifolium,Polygonum persicaria,Polygonum sagittatum,Polygonum sp.,Polygonum virginianum,Polystichum acrostichoides,Populus deltoides,Populus tremuloides,Potentilla simplex,Prunella vulgaris,Prunus serotina,Prunus virginiana,Quercus alba,Quercus macrocarpa,Quercus rubra,Ranunculus recurvatus,Rhamnus alnifolia,Rhamnus cathartica,Ribes americanum,Ribes rubrum,Robinia pseudoacacia,Rosa multiflora,Rubus allegheniensis,Rubus hispidus,Rubus occidentalis,Rubus odoratus,Rubus pubescens,Rubus sp.,Rumex obtusifolius,Rumex triangulivalvis,Salix alba,Salix lucida,Salix nigra,Sambucus canadensis,Sanicula odorata,Scirpus polyphyllus,Scutellaria lateriflora,Sinapis arvensis,Smilax glauca,Solanum dulcamara,Solanum ptycanthum,Solidago altissima,Solidago canadensis,Solidago flexicaulis,Solidago gigantea,SP06,SP13,SP20,SP23,SP27,SP29,SP34,SP35,SP38,SP39,SP40,SP41,SP43,SP55,SP61,SP71,SP72,SP79,SP80,SP86,Stellaria pubera,Symphyotrichum dumosum,Symphyotrichum lateriflorum,Teucrium canadense,Thalictrum pubescens,Thalictrum sp.,Thalictrum thalictroides,Thelypteris noveboracensis,Thelypteris palustris,Tilia americana,Toxicodendron radicans,Trifolium arvense,Trifolium campestre,Trifolium pratense,Trifolium repens,Tsuga canadensis,Ulmus rubra,Urtica dioica,Urtica dioica ssp. gracilis,Veronica americana,Veronica sp.,Viburnum acerifolium,Viburnum lentago,Viburnum recognitum,Viola fimbriatula,Viola pubescens,Viola sp.,Vitis riparia,Xanthium strumarium,Zanthoxylum americanum
B1GA,Bal,GL,0,0,0,0,0,3,7,0,8,0,0,0,0,1,0,0,0,5,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,2,0,4,0,0,0,0,0,0,0,23,0,0,0,0,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,7,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
B1GB,Bal,GL,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,1,74,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,3,17,0,0,14,0,31,0,0,0,0,1,0,0,0,0,0,0,8,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
BIUA,Bal,UP,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B1UB,Bal,UP,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
B2GA,Bal,GL,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,43,0,0,0,0,9,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
B2GB,Bal,GL,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,18,0,0,0,2,0,2,0,6,0,0,0,0,1,0,0,0,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,0,0,4,0,0,2,0,0,17,1,0,0,1,63,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,3,15,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,3,26,0,1,0,0,0,17,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,1,0,0,2,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,1,0,0
B2UA,Bal,UP,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
B2UB,Bal,UP,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,1,2,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,6,8,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0
