PartSite,Species,Presence
North Branch West Stony Creek N,Eutrochium maculatum,1
North Branch West Stony Creek N,Eutrochium maculatum,1
Paragon Brook N,Eutrochium maculatum,1
Quacken Kill N,Eutrochium maculatum,1
Robbs Creek N,Eutrochium maculatum,1
Sherriff Lake Outlet N,Eutrochium maculatum,1
Sherriff Lake Outlet N,Eutrochium maculatum,1
Timmerman Creek N,Eutrochium maculatum,1
Trout Brook N,Eutrochium maculatum,1
Wharton Hollow Creek N,Eutrochium maculatum,1
Alplaus Kill N,Eutrochium purpureum,1
Cadman Creek N,Eutrochium purpureum,1
Hans Creek N,Eutrochium purpureum,1
Hans Creek N,Eutrochium purpureum,1
Indian Kill N,Eutrochium purpureum,1
Kennyetto Creek N,Eutrochium purpureum,1
Kinderhook Creek N,Eutrochium purpureum,1
New Pond Brook N,Eutrochium purpureum,1
Quacken Kill N,Eutrochium purpureum,1
Robbs Creek N,Eutrochium purpureum,1
Sherriff Lake Outlet N,Eutrochium purpureum,1
Snook Kill N,Eutrochium purpureum,1
Big Brook N,Fragaria vesca,1
Cedar River N,Fragaria vesca,1
Four Mile Brook N,Fragaria vesca,1
Hans Creek N,Fragaria vesca,1
Lansing Kill N,Fragaria vesca,1
Mill Creek N,Fragaria vesca,1
Minots Corner Road N,Fragaria vesca,1
New Pond Brook N,Fragaria vesca,1
Paragon Brook N,Fragaria vesca,1
Robbs Creek N,Fragaria vesca,1
Sterling Creek N,Fragaria vesca,1
Stewart Creek N,Fragaria vesca,1
Timmerman Creek N,Fragaria vesca,1
Big Brook N,Galium aparine,1
Fawn Lake N,Galium aparine,1
Four Mile Brook N,Galium aparine,1
Robbs Creek N,Galium aparine,1
Sterling Creek N,Galium aparine,1
Cadman Creek N,Galium asprellum,1
Daly Creek N,Galium asprellum,1
Four Mile Brook N,Galium asprellum,1
Hudson River N,Galium asprellum,1
Mill Brook N,Galium asprellum,1
Mill Creek N,Galium asprellum,1
Paragon Brook N,Galium asprellum,1
Sherriff Lake Outlet N,Galium asprellum,1
Timmerman Creek N,Galium asprellum,1
Beaver Kill N,Galium boreale,1
Wappinger Creek N,Galium boreale,1
Wharton Hollow Creek N,Galium boreale,1
Alplaus Kill N,Galium palustre,1
Ballston Creek N,Galium palustre,1
Battenkill N,Galium palustre,1
Beaver Kill N,Galium palustre,1
Cedar River N,Galium palustre,1
Chester Creek N,Galium palustre,1
Jassup River N,Galium palustre,1
Kennyetto Creek N,Galium palustre,1
Kinderhook Creek N,Galium palustre,1
Landsman Kill N,Galium palustre,1
Mohawk River N,Galium palustre,1
Potic Creek N,Galium palustre,1
Quacken Kill N,Galium palustre,1
Roeliff Jansen Kill N,Galium palustre,1
Stony Creek N,Galium palustre,1
Wharton Hollow Creek N,Galium palustre,1
Roeliff Jansen Kill N,Galium triflorum,1
Hudson River N,Gentiana linearis,1
Landsman Kill N,Geum canadense,1
Mohawk River N,Geum canadense,1
Roeliff Jansen Kill N,Geum canadense,1
Snook Kill N,Geum canadense,1
Ballston Creek N,Glyceria striata,1
Cadman Creek N,Glyceria striata,1
Daly Creek N,Glyceria striata,1
Four Mile Brook N,Glyceria striata,1
Four Mile Brook N,Glyceria striata,1
Indian Kill N,Glyceria striata,1
Keyser Kill N,Glyceria striata,1
Mill Brook N,Glyceria striata,1
Mill Creek N,Glyceria striata,1
New Pond Brook N,Glyceria striata,1
New Pond Brook N,Glyceria striata,1
North Branch West Stony Creek N,Glyceria striata,1
Robbs Creek N,Glyceria striata,1
Sherriff Lake Outlet N,Glyceria striata,1
Timmerman Creek N,Glyceria striata,1
Battenkill N,Helianthus strumosus,1
Valatie Kill N,Helianthus strumosus,1
Quacken Kill N,Helianthus tuberosus,1
Bullhead Pond Brook N,Heuchera villosa,1
Cadman Creek N,Heuchera villosa,1
Daly Creek N,Heuchera villosa,1
Robbs Creek N,Heuchera villosa,1
Stewart Creek N,Heuchera villosa,1
Robbs Creek N,Hypericum mutilum,1
Stony Creek N,Hypericum punctatum,1
Ballston Creek N,Impatiens capensis,1
Beaver Kill N,Impatiens capensis,1
Bullhead Pond Brook N,Impatiens capensis,1
Daly Creek N,Impatiens capensis,1
Fawn Lake N,Impatiens capensis,1
Fishkill Creek N,Impatiens capensis,1
Indian Brook N,Impatiens capensis,1
Indian Kill N,Impatiens capensis,1
Keyser Kill N,Impatiens capensis,1
Landsman Kill N,Impatiens capensis,1
Lansing Kill N,Impatiens capensis,1
Plotter Kill N,Impatiens capensis,1
Potic Creek N,Impatiens capensis,1
Quacken Kill N,Impatiens capensis,1
Roeliff Jansen Kill N,Impatiens capensis,1
Saw Kill N,Impatiens capensis,1
Snook Kill N,Impatiens capensis,1
Sprout Creek N,Impatiens capensis,1
Stony Creek N,Impatiens capensis,1
Ballston Creek N,Impatiens pallida,1
Evas Kill N,Impatiens pallida,1
Mohawk River N,Impatiens pallida,1
Plotter Kill N,Impatiens pallida,1
Four Mile Brook N,Juncus articulatus,1
Timmerman Creek N,Juncus articulatus,1
Cedar River N,Juncus filiformis,1
Four Mile Brook N,Juncus filiformis,1
Alplaus Kill N,Laportea canadensis,1
Ballston Creek N,Laportea canadensis,1
Evas Kill N,Laportea canadensis,1
Landsman Kill N,Laportea canadensis,1
Snook Kill N,Laportea canadensis,1
Battenkill N,Liparis loeselii,1
Mill Creek N,Liparis loeselii,1
Stewart Creek N,Liparis loeselii,1
Ballston Creek N,Lobelia cardinalis,1
Jassup River N,Lobelia cardinalis,1
Mill Brook N,Lobelia cardinalis,1
Mill Creek N,Lobelia cardinalis,1
Paragon Brook N,Lobelia cardinalis,1
Stewart Creek N,Lobelia cardinalis,1
Timmerman Creek N,Lobelia cardinalis,1
Trout Brook N,Lobelia cardinalis,1
Kinderhook Creek N,Lobelia inflata,1
Evas Kill N,Lobelia siphilitica,1
Snook Kill N,Lobelia siphilitica,1
Chester Creek N,Ludwigia palustris,1
Jassup River N,Ludwigia palustris,1
Hudson River N,Lycopus americanus,1
Boreas River N,Lycopus rubellus,1
Cadman Creek N,Lycopus rubellus,1
Cedar River N,Lycopus rubellus,1
Chester Creek N,Lycopus rubellus,1
Evas Kill N,Lycopus rubellus,1
Four Mile Brook N,Lycopus rubellus,1
Lansing Kill N,Lycopus rubellus,1
New Pond Brook N,Lycopus rubellus,1
North Branch West Stony Creek N,Lycopus rubellus,1
Robbs Creek N,Lycopus rubellus,1
Sherriff Lake Outlet N,Lycopus rubellus,1
Snook Kill N,Lycopus rubellus,1
Sterling Creek N,Lycopus rubellus,1
Stewart Creek N,Lycopus rubellus,1
Trout Brook N,Lycopus rubellus,1
Battenkill N,Lysimachia ciliata,1
Beaver Kill N,Lysimachia ciliata,1
Mill Brook N,Lysimachia ciliata,1
Mohawk River N,Lysimachia ciliata,1
Wharton Hollow Creek N,Lysimachia ciliata,1
Ballston Creek N,Lysimachia quadrifolia,1
Fawn Lake N,Lysimachia terrestris,1
Bullhead Pond Brook N,Maianthemum racemosum,1
Cadman Creek N,Maianthemum racemosum,1
Hans Creek N,Maianthemum racemosum,1
Indian Kill N,Maianthemum racemosum,1
Kennyetto Creek N,Maianthemum racemosum,1
Kinderhook Creek N,Maianthemum racemosum,1
Lansing Kill N,Maianthemum racemosum,1
Minots Corner Road N,Maianthemum racemosum,1
Mohawk River N,Maianthemum racemosum,1
North Branch West Stony Creek N,Maianthemum racemosum,1
Robbs Creek N,Maianthemum racemosum,1
Stewart Creek N,Maianthemum racemosum,1
Trout Brook N,Maianthemum racemosum,1
Valatie Kill N,Maianthemum racemosum,1
Alplaus Kill N,Matteuccia struthiopteris,1
Ballston Creek N,Matteuccia struthiopteris,1
Hans Creek N,Matteuccia struthiopteris,1
Indian Kill N,Matteuccia struthiopteris,1
Mill Creek N,Matteuccia struthiopteris,1
Minots Corner Road N,Matteuccia struthiopteris,1
Jassup River N,Mimulus ringens,1
Kayaderosseras Creek N,Mimulus ringens,1
Snook Kill N,Mimulus ringens,1
Trout Brook N,Mitchella repens,1
Stony Creek N,Monotropa uniflora,1
Quacken Kill N,Muhlenbergia mexicana,1
Alplaus Kill N,Myosotis laxa,1
Ballston Creek N,Myosotis laxa,1
Evas Kill N,Myosotis laxa,1
Kayaderosseras Creek N,Myosotis laxa,1
Keyser Kill N,Myosotis laxa,1
Alplaus Kill N,Onoclea sensibilis,1
Ballston Creek N,Onoclea sensibilis,1
Battenkill N,Onoclea sensibilis,1
Beaver Kill N,Onoclea sensibilis,1
Boreas River N,Onoclea sensibilis,1
Cadman Creek N,Onoclea sensibilis,1
Cedar River N,Onoclea sensibilis,1
Chester Creek N,Onoclea sensibilis,1
Daly Creek N,Onoclea sensibilis,1
Fawn Lake N,Onoclea sensibilis,1
Four Mile Brook N,Onoclea sensibilis,1
Green River N,Onoclea sensibilis,1
Hans Creek N,Onoclea sensibilis,1
Indian Brook N,Onoclea sensibilis,1
Indian Kill N,Onoclea sensibilis,1
Jassup River N,Onoclea sensibilis,1
Kennyetto Creek N,Onoclea sensibilis,1
Kinderhook Creek N,Onoclea sensibilis,1
Mill Brook N,Onoclea sensibilis,1
Mill Creek N,Onoclea sensibilis,1
Minots Corner Road N,Onoclea sensibilis,1
Mohawk River N,Onoclea sensibilis,1
Paragon Brook N,Onoclea sensibilis,1
Potic Creek N,Onoclea sensibilis,1
Quacken Kill N,Onoclea sensibilis,1
Robbs Creek N,Onoclea sensibilis,1
Roeliff Jansen Kill N,Onoclea sensibilis,1
Sherriff Lake Outlet N,Onoclea sensibilis,1
Snook Kill N,Onoclea sensibilis,1
Sprout Creek N,Onoclea sensibilis,1
Timmerman Creek N,Onoclea sensibilis,1
Trout Brook N,Onoclea sensibilis,1
Wharton Hollow Creek N,Onoclea sensibilis,1
Robbs Creek N,Osmunda cinnamomea,1
Boreas River N,Osmunda regalis,1
Chester Creek N,Osmunda regalis,1
Daly Creek N,Osmunda regalis,1
Trout Brook N,Osmunda regalis,1
Alplaus Kill N,Oxalis stricta,1
Battenkill N,Oxalis stricta,1
Boreas River N,Oxalis stricta,1
Cedar River N,Oxalis stricta,1
Fishkill Creek N,Oxalis stricta,1
Hans Creek N,Oxalis stricta,1
Indian Brook N,Oxalis stricta,1
Kayaderosseras Creek N,Oxalis stricta,1
Keyser Kill N,Oxalis stricta,1
Kinderhook Creek N,Oxalis stricta,1
Landsman Kill N,Oxalis stricta,1
Mill Brook N,Oxalis stricta,1
Minots Corner Road N,Oxalis stricta,1
Potic Creek N,Oxalis stricta,1
Quacken Kill N,Oxalis stricta,1
Roeliff Jansen Kill N,Oxalis stricta,1
Sherriff Lake Outlet N,Oxalis stricta,1
Snook Kill N,Oxalis stricta,1
Sterling Creek N,Oxalis stricta,1
Stony Creek N,Oxalis stricta,1
Beaver Kill N,Panicum dichotomiflorum,1
Potic Creek N,Panicum dichotomiflorum,1
Sprout Creek N,Panicum dichotomiflorum,1
Wappinger Creek N,Panicum dichotomiflorum,1
Alplaus Kill N,Parthenocissus quinquefolia,1
Ballston Creek N,Parthenocissus quinquefolia,1
Battenkill N,Parthenocissus quinquefolia,1
Big Brook N,Parthenocissus quinquefolia,1
Daly Creek N,Parthenocissus quinquefolia,1
Evas Kill N,Parthenocissus quinquefolia,1
Fishkill Creek N,Parthenocissus quinquefolia,1
Four Mile Brook N,Parthenocissus quinquefolia,1
Indian Kill N,Parthenocissus quinquefolia,1
Kayaderosseras Creek N,Parthenocissus quinquefolia,1
Kinderhook Creek N,Parthenocissus quinquefolia,1
Lansing Kill N,Parthenocissus quinquefolia,1
Minots Corner Road N,Parthenocissus quinquefolia,1
Mohawk River N,Parthenocissus quinquefolia,1
Paragon Brook N,Parthenocissus quinquefolia,1
Potic Creek N,Parthenocissus quinquefolia,1
Quacken Kill N,Parthenocissus quinquefolia,1
Roeliff Jansen Kill N,Parthenocissus quinquefolia,1
Snook Kill N,Parthenocissus quinquefolia,1
Sprout Creek N,Parthenocissus quinquefolia,1
Steele Creek N,Parthenocissus quinquefolia,1
Sterling Creek N,Parthenocissus quinquefolia,1
Wappinger Creek N,Parthenocissus quinquefolia,1
Boreas River N,Peltandra virginica,1
Boreas River N,Phalaris arundinacea,1
Cobleskill Creek N,Phalaris arundinacea,1
Fawn Lake N,Phalaris arundinacea,1
Keyser Kill N,Phalaris arundinacea,1
North Branch West Stony Creek N,Phalaris arundinacea,1
Sprout Creek N,Phalaris arundinacea,1
Bullhead Pond Brook N,Phegopteris connectilis,1
Hudson River N,Phegopteris connectilis,1
Four Mile Brook N,Phegopteris hexagonoptera,1
New Pond Brook N,Phegopteris hexagonoptera,1
Sherriff Lake Outlet N,Phegopteris hexagonoptera,1
Stewart Creek N,Phegopteris hexagonoptera,1
Timmerman Creek N,Phegopteris hexagonoptera,1
Alplaus Kill N,Pilea pumila,1
Ballston Creek N,Pilea pumila,1
Evas Kill N,Pilea pumila,1
Fishkill Creek N,Pilea pumila,1
Indian Brook N,Pilea pumila,1
Indian Kill N,Pilea pumila,1
Kinderhook Creek N,Pilea pumila,1
Landsman Kill N,Pilea pumila,1
Lansing Kill N,Pilea pumila,1
Minots Corner Road N,Pilea pumila,1
Potic Creek N,Pilea pumila,1
Quacken Kill N,Pilea pumila,1
Roeliff Jansen Kill N,Pilea pumila,1
Saw Kill N,Pilea pumila,1
Snook Kill N,Pilea pumila,1
Sprout Creek N,Pilea pumila,1
Sterling Creek N,Pilea pumila,1
Stony Creek N,Pilea pumila,1
Wappinger Creek N,Pilea pumila,1
Beaver Kill N,Polygonum amphibium,1
Cobleskill Creek N,Polygonum amphibium,1
Potic Creek N,Polygonum amphibium,1
Roeliff Jansen Kill N,Polygonum amphibium,1
Ballston Creek N,Polygonum arifolium,1
Beaver Kill N,Polygonum cilinode,1
Wappinger Creek N,Polygonum hydropiperoides,1
Evas Kill N,Polygonum punctatum,1
Kennyetto Creek N,Polygonum punctatum,1
Quacken Kill N,Polygonum punctatum,1
Beaver Kill N,Polygonum sagittatum,1
Cadman Creek N,Polygonum sagittatum,1
Daly Creek N,Polygonum sagittatum,1
Fawn Lake N,Polygonum sagittatum,1
Indian Brook N,Polygonum sagittatum,1
New Pond Brook N,Polygonum sagittatum,1
North Branch West Stony Creek N,Polygonum sagittatum,1
Potic Creek N,Polygonum sagittatum,1
Saw Kill N,Polygonum sagittatum,1
Sherriff Lake Outlet N,Polygonum sagittatum,1
Alplaus Kill N,Polygonum virginianum,1
Indian Kill N,Polygonum virginianum,1
Kennyetto Creek N,Polygonum virginianum,1
Kinderhook Creek N,Polygonum virginianum,1
Lansing Kill N,Polygonum virginianum,1
Snook Kill N,Polygonum virginianum,1
Bullhead Pond Brook N,Polystichum acrostichoides,1
Indian Kill N,Polystichum acrostichoides,1
Big Brook N,Potentilla simplex,1
Cedar River N,Potentilla simplex,1
Four Mile Brook N,Potentilla simplex,1
Hans Creek N,Potentilla simplex,1
Keyser Kill N,Potentilla simplex,1
New Pond Brook N,Potentilla simplex,1
North Branch West Stony Creek N,Potentilla simplex,1
Paragon Brook N,Potentilla simplex,1
Roeliff Jansen Kill N,Potentilla simplex,1
Stewart Creek N,Potentilla simplex,1
Stony Creek N,Potentilla simplex,1
Bullhead Pond Brook N,Prenanthes alba,1
Cadman Creek N,Prenanthes altissima,1
Daly Creek N,Prenanthes altissima,1
Sherriff Lake Outlet N,Prenanthes trifoliolata,1
Stewart Creek N,Prenanthes trifoliolata,1
Trout Brook N,Prenanthes trifoliolata,1
Big Brook N,Prunella vulgaris,1
Boreas River N,Prunella vulgaris,1
Cedar River N,Prunella vulgaris,1
Daly Creek N,Prunella vulgaris,1
Evas Kill N,Prunella vulgaris,1
Four Mile Brook N,Prunella vulgaris,1
Hans Creek N,Prunella vulgaris,1
Hudson River N,Prunella vulgaris,1
Indian Kill N,Prunella vulgaris,1
Kayaderosseras Creek N,Prunella vulgaris,1
Keyser Kill N,Prunella vulgaris,1
Kinderhook Creek N,Prunella vulgaris,1
Mill Creek N,Prunella vulgaris,1
Paragon Brook N,Prunella vulgaris,1
Potic Creek N,Prunella vulgaris,1
Sprout Creek N,Prunella vulgaris,1
Sterling Creek N,Prunella vulgaris,1
Stony Creek N,Prunella vulgaris,1
Timmerman Creek N,Prunella vulgaris,1
Wappinger Creek N,Prunella vulgaris,1
Wharton Hollow Creek N,Prunella vulgaris,1
North Branch West Stony Creek N,Pteridium aquilinum,1
Fawn Lake N,Ranunculus pensylvanicus,1
Indian Brook N,Ranunculus pensylvanicus,1
Wharton Hollow Creek N,Ranunculus pensylvanicus,1
Roeliff Jansen Kill N,Ranunculus recurvatus,1
North Branch West Stony Creek N,Rubus pubescens,1
Stewart Creek N,Rubus pubescens,1
Indian Kill N,Rudbeckia hirta,1
Sterling Creek N,Rudbeckia hirta,1
Robbs Creek N,Rudbeckia laciniata,1
Ballston Creek N,Sagittaria latifolia,1
Chester Creek N,Sagittaria latifolia,1
Indian Kill N,Sagittaria latifolia,1
Kayaderosseras Creek N,Sagittaria latifolia,1
Sherriff Lake Outlet N,Sagittaria latifolia,1
Chester Creek N,Schoenoplectus pungens,1
Beaver Kill N,Scirpus atrocinctus,1
Beaver Kill N,Scirpus microcarpus,1
Landsman Kill N,Scutellaria lateriflora,1
Saw Kill N,Scutellaria lateriflora,1
Battenkill N,Smilax tamnoides,1
Big Brook N,Solidago altissima,1
Daly Creek N,Solidago altissima,1
Jassup River N,Solidago altissima,1
Keyser Kill N,Solidago altissima,1
Kinderhook Creek N,Solidago altissima,1
Sterling Creek N,Solidago altissima,1
Wharton Hollow Creek N,Solidago altissima,1
Big Brook N,Solidago canadensis,1
Cedar River N,Solidago canadensis,1
Green River N,Solidago canadensis,1
Indian Brook N,Solidago canadensis,1
Mill Brook N,Solidago canadensis,1
Mill Creek N,Solidago canadensis,1
North Branch West Stony Creek N,Solidago canadensis,1
Plotter Kill N,Solidago canadensis,1
Robbs Creek N,Solidago canadensis,1
Sherriff Lake Outlet N,Solidago canadensis,1
Snook Kill N,Solidago canadensis,1
Green River N,Solidago flexicaulis,1
Indian Kill N,Solidago flexicaulis,1
Lansing Kill N,Solidago flexicaulis,1
Mohawk River N,Solidago flexicaulis,1
Robbs Creek N,Solidago flexicaulis,1
Steele Creek N,Solidago flexicaulis,1
Alplaus Kill N,Solidago gigantea,1
Battenkill N,Solidago gigantea,1
Beaver Kill N,Solidago gigantea,1
Cadman Creek N,Solidago gigantea,1
Cobleskill Creek N,Solidago gigantea,1
Fawn Lake N,Solidago gigantea,1
Minots Corner Road N,Solidago gigantea,1
Paragon Brook N,Solidago gigantea,1
Plotter Kill N,Solidago gigantea,1
Quacken Kill N,Solidago gigantea,1
Roeliff Jansen Kill N,Solidago gigantea,1
Snook Kill N,Solidago gigantea,1
Sprout Creek N,Solidago gigantea,1
Steele Creek N,Solidago gigantea,1
Sterling Creek N,Solidago gigantea,1
Stony Creek N,Solidago gigantea,1
Hudson River N,Solidago latissimifolia,1
Robbs Creek N,Symphyotrichum lanceolatum,1
Snook Kill N,Symphyotrichum lanceolatum,1
Stewart Creek N,Symphyotrichum lanceolatum,1
Stewart Creek N,Symphyotrichum lanceolatum,1
Boreas River N,Symphyotrichum novae-angliae,1
Cadman Creek N,Symphyotrichum novae-angliae,1
Cedar River N,Symphyotrichum novae-angliae,1
Daly Creek N,Symphyotrichum novae-angliae,1
Four Mile Brook N,Symphyotrichum novae-angliae,1
Hans Creek N,Symphyotrichum novae-angliae,1
Hans Creek N,Symphyotrichum novae-angliae,1
Jassup River N,Symphyotrichum novae-angliae,1
Kinderhook Creek N,Symphyotrichum novae-angliae,1
Lansing Kill N,Symphyotrichum novae-angliae,1
Mill Creek N,Symphyotrichum novae-angliae,1
Minots Corner Road N,Symphyotrichum novae-angliae,1
Robbs Creek N,Symphyotrichum novae-angliae,1
Sherriff Lake Outlet N,Symphyotrichum novae-angliae,1
Sterling Creek N,Symphyotrichum novae-angliae,1
Potic Creek N,Symphyotrichum prenanthoides,1
Indian Brook N,Symplocarpus foetidus,1
Alplaus Kill N,Thalictrum dioicum,1
Alplaus Kill N,Thalictrum pubescens,1
Boreas River N,Thalictrum pubescens,1
Bullhead Pond Brook N,Thalictrum pubescens,1
Cadman Creek N,Thalictrum pubescens,1
Cedar River N,Thalictrum pubescens,1
Daly Creek N,Thalictrum pubescens,1
Fawn Lake N,Thalictrum pubescens,1
Four Mile Brook N,Thalictrum pubescens,1
Green River N,Thalictrum pubescens,1
Hans Creek N,Thalictrum pubescens,1
Hudson River N,Thalictrum pubescens,1
Indian Kill N,Thalictrum pubescens,1
Lansing Kill N,Thalictrum pubescens,1
Mill Brook N,Thalictrum pubescens,1
Mill Creek N,Thalictrum pubescens,1
Mohawk River N,Thalictrum pubescens,1
New Pond Brook N,Thalictrum pubescens,1
North Branch West Stony Creek N,Thalictrum pubescens,1
Paragon Brook N,Thalictrum pubescens,1
Potic Creek N,Thalictrum pubescens,1
Quacken Kill N,Thalictrum pubescens,1
Robbs Creek N,Thalictrum pubescens,1
Roeliff Jansen Kill N,Thalictrum pubescens,1
Sherriff Lake Outlet N,Thalictrum pubescens,1
Stewart Creek N,Thalictrum pubescens,1
Trout Brook N,Thalictrum pubescens,1
Valatie Kill N,Thalictrum pubescens,1
Cadman Creek N,Thalictrum thalictroides,1
Cadman Creek N,Thelypteris noveboracensis,1
North Branch West Stony Creek N,Thelypteris palustris,1
Alplaus Kill N,Toxicodendron radicans,1
Big Brook N,Toxicodendron radicans,1
Cobleskill Creek N,Toxicodendron radicans,1
Fishkill Creek N,Toxicodendron radicans,1
Indian Brook N,Toxicodendron radicans,1
Indian Kill N,Toxicodendron radicans,1
Kennyetto Creek N,Toxicodendron radicans,1
Kinderhook Creek N,Toxicodendron radicans,1
Landsman Kill N,Toxicodendron radicans,1
Potic Creek N,Toxicodendron radicans,1
Quacken Kill N,Toxicodendron radicans,1
Sprout Creek N,Toxicodendron radicans,1
Steele Creek N,Toxicodendron radicans,1
Stony Creek N,Toxicodendron radicans,1
Wappinger Creek N,Toxicodendron radicans,1
Chester Creek N,Triadenum virginicum,1
Mill Brook N,Triadenum virginicum,1
Stewart Creek N,Trillium erectum,1
Cadman Creek N,Veratrum viride,1
Mill Creek N,Veratrum viride,1
Robbs Creek N,Veratrum viride,1
Stewart Creek N,Veratrum viride,1
Trout Brook N,Veratrum viride,1
Cobleskill Creek N,Verbena hastata,1
Cobleskill Creek N,Verbena urticifolia,1
Indian Kill N,Veronica americana,1
Cobleskill Creek N,Veronica anagallis-aquatica,1
Keyser Kill N,Veronica anagallis-aquatica,1
Chester Creek N,Veronica scutellata,1
Ballston Creek N,Vitis riparia,1
Battenkill N,Vitis riparia,1
Big Brook N,Vitis riparia,1
Cobleskill Creek N,Vitis riparia,1
Evas Kill N,Vitis riparia,1
Fawn Lake N,Vitis riparia,1
Indian Brook N,Vitis riparia,1
Indian Kill N,Vitis riparia,1
Kennyetto Creek N,Vitis riparia,1
Keyser Kill N,Vitis riparia,1
Kinderhook Creek N,Vitis riparia,1
Plotter Kill N,Vitis riparia,1
Quacken Kill N,Vitis riparia,1
Roeliff Jansen Kill N,Vitis riparia,1
Snook Kill N,Vitis riparia,1
Sprout Creek N,Vitis riparia,1
Sterling Creek N,Vitis riparia,1
Valatie Kill N,Vitis riparia,1
Robbs Creek N,Woodsia obtusa,1
Cobleskill Creek N,Xanthium strumarium,1
Kayaderosseras Creek N,Xanthium strumarium,1
