Trait,Abies balsamea,Acer negundo,Acer pensylvanicum,Acer rubrum,Acer saccharinum,Acer saccharum,Acer spicatum,Ageratina altissima,Agrimonia gryposepala,Agrostis perennans,Alnus incana,Ambrosia trifida,Amphicarpaea bracteata,Anemone virginiana,Apocynum cannabinum,Arisaema triphyllum,Asclepias syriaca,Athyrium filix-femina,Betula alleghaniensis,Betula papyrifera,Bidens connata,Bidens frondosa,Blephilia hirsuta,Boehmeria cylindrica,Bromus ciliatus,Bromus pubescens,Carex crinita,Carex scoparia,Carpinus caroliniana,Carya cordiformis,Carya ovata,Cephalanthus occidentalis,Chelone glabra,Cicuta maculata,Cinna arundinacea,Circaea lutetiana,Clematis virginiana,Clinopodium vulgare,Collinsonia canadensis,Cornus amomum,Cornus canadensis,Cornus rugosa,Cornus sericea,Corylus cornuta,Cryptotaenia canadensis,Cyperus strigosus,Dichanthelium clandestinum,Dioscorea villosa,Dryopteris carthusiana,Dryopteris cristata,Echinocystis lobata,Eleocharis intermedia,Elymus hystrix,Elymus trachycaulus,Elymus virginicus,Epilobium ciliatum,Equisetum fluviatile,Equisetum hyemale,Equisetum palustre,Equisetum pratense,Erigeron annuus,Eupatorium perfoliatum,Euphorbia maculata,Euthamia graminifolia,Fagus grandifolia,Fragaria vesca,Fraxinus americana,Fraxinus nigra,Fraxinus pennsylvanica,Galium aparine,Galium asprellum,Galium boreale,Galium palustre,Galium triflorum,Geum canadense,Glyceria striata,Hamamelis virginiana,Helianthus strumosus,Helianthus tuberosus,Hypericum mutilum,Hypericum punctatum,Impatiens capensis,Impatiens pallida,Juglans cinerea,Juglans nigra,Juncus articulatus,Juncus filiformis,Laportea canadensis,Lindera benzoin,Liparis loeselii,Lobelia cardinalis,Lobelia inflata,Lobelia siphilitica,Ludwigia palustris,Lycopus americanus,Lycopus rubellus,Lysimachia ciliata,Lysimachia quadrifolia,Lysimachia terrestris,Maianthemum racemosum,Matteuccia struthiopteris,Mimulus ringens,Mitchella repens,Monotropa uniflora,Muhlenbergia mexicana,Myosotis laxa,Myrica gale,Oenothera biennis,Onoclea sensibilis,Osmunda cinnamomea,Osmunda regalis,Ostrya virginiana,Oxalis stricta,Panicum dichotomiflorum,Parthenocissus quinquefolia,Peltandra virginica,Phalaris arundinacea,Phegopteris connectilis,Phegopteris hexagonoptera,Pilea pumila,Pinus strobus,Platanus occidentalis,Polygonum amphibium,Polygonum hydropiperoides,Polygonum punctatum,Polygonum sagittatum,Polygonum virginianum,Polystichum acrostichoides,Populus deltoides,Potentilla simplex,Prenanthes alba,Prunella vulgaris,Prunus americana,Prunus serotina,Prunus virginiana,Pteridium aquilinum,Quercus alba,Quercus velutina,Ranunculus pensylvanicus,Ranunculus recurvatus,Rhamnus alnifolia,Rhus typhina,Robinia pseudoacacia,Rosa palustris,Rubus allegheniensis,Rubus hispidus,Rubus idaeus,Rubus occidentalis,Rubus odoratus,Rubus pubescens,Rudbeckia hirta,Rudbeckia laciniata,Sagittaria latifolia,Salix nigra,Schoenoplectus pungens,Scirpus atrocinctus,Scirpus microcarpus,Scutellaria lateriflora,Solidago altissima,Solidago canadensis,Solidago flexicaulis,Solidago gigantea,Spiraea alba,Symphyotrichum lanceolatum,Symphyotrichum prenanthoides,Symplocarpus foetidus,Thalictrum dioicum,Thalictrum pubescens,Thelypteris noveboracensis,Thelypteris palustris,Thuja occidentalis,Tilia americana,Toxicodendron radicans,Trillium erectum,Tsuga canadensis,Ulmus americana,Ulmus rubra,Veratrum viride,Verbena hastata,Verbena urticifolia,Veronica americana,Veronica anagallis-aquatica,Veronica scutellata,Viburnum acerifolium,Viburnum dentatum,Viburnum lantanoides,Vitis riparia,Xanthium strumarium
Dispersal syndrome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dispersal unit dry mass,NA,41.21,NA,NA,NA,NA,NA,NA,NA,NA,0.55,17.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,NA,NA,NA,8.34,NA,0.61,0.91,NA,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,NA,0.99,NA,NA,2.83,NA,NA,NA,NA,NA,NA,NA,0.06,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dispersal unit length,NA,30.13333333,NA,NA,NA,NA,NA,NA,NA,NA,2.7,6.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.356666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.11,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,6.135,NA,NA,37.5,3.2,NA,1.95,1.7,NA,NA,1.266666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53,2.186666667,NA,NA,NA,NA,NA,NA,2.52,NA,NA,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77,NA,7.575,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.47,NA,1.66,NA,1.9,4.77,3.75,NA,2.75,NA,NA,NA,NA,1.18,NA,1.983333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
Dispersal unit thickness,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,0.35,3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,NA,NA,NA,2.28,NA,0.88,NA,NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.366666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,NA,7.425,6.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,NA,0.64,NA,0.6,1,NA,NA,NA,NA,NA,NA,NA,0.35,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5
Dispersal unit width,NA,12.2,NA,NA,NA,NA,NA,NA,NA,NA,2.45,4.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.89,NA,NA,5.75,2.63,NA,0.98,1.5,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.986666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,NA,7.425,6.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.685,NA,1.08,NA,0.6,1.3,2.5,NA,NA,NA,NA,NA,NA,0.35,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5
Germination efficiency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germination requirement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf area,NA,24.86090909,NA,36.110625,NA,50.94875,NA,NA,17.34,NA,1697.789231,5504.723333,NA,NA,NA,62.465,89.25269841,67730,29.50153846,25.51,1020.833333,4266.033333,NA,NA,6.077,NA,NA,NA,14.95,NA,80.835,NA,NA,NA,NA,1770.616667,NA,84.10076923,NA,NA,NA,NA,21.91,33.21,NA,NA,NA,NA,18468,NA,NA,NA,NA,4.9,NA,722.775,177.04,1376.03,65.3,NA,255.3036364,84.85222222,NA,3.105454545,NA,1208.1475,39.33083333,NA,NA,97.412,NA,16.5845,9.732857143,NA,NA,NA,NA,NA,19619.5,NA,NA,26.63857143,15.801,NA,42,409.8654545,619.3833333,NA,NA,924.845,NA,4.358333333,NA,254.915,2.95,NA,NA,NA,NA,17.06333333,48201.68,6.19,NA,NA,NA,264.425,57.22666667,2224.563077,71.65891892,NA,164402.65,28.157,7.432857143,NA,57.0644,NA,401.2044444,7254.546667,NA,NA,2.7,169.35,2756.7,NA,NA,10.004,NA,NA,84,5.95,NA,218.224,NA,1291.271667,11.76416667,NA,NA,NA,NA,NA,NA,12.013,25.59333333,NA,NA,NA,55.54346154,NA,NA,NA,3.330833333,NA,NA,NA,NA,53.968,NA,5.2825,NA,11.2918109,NA,509.1866667,NA,NA,NA,NA,NA,NA,NA,10907.38,0.1,NA,NA,NA,0.48,120,NA,NA,15.99222222,NA,NA,2285,77.30833333,NA,NA,NA,42.48857143,3517.644286
Leaf carbon (C) content per area,NA,44.4,NA,39.9,NA,36.34444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.3,NA,28.26666667,52.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.66666667,NA,NA,NA,NA,NA,NA,NA,21.8,NA,NA,NA,NA,34.125,NA,NA,20.4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,66.7,NA,NA,NA,16.8,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf carbon (C) content per dry mass,NA,44.71,NA,46.20545455,NA,NA,NA,NA,NA,NA,54.4725,NA,NA,NA,NA,NA,42.774,NA,NA,NA,NA,45.39,NA,NA,43.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.805,NA,458.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.74,NA,NA,45.9,NA,264.5366667,NA,45.822,46.71,NA,47.385,NA,477,NA,NA,NA,NA,NA,197.5363158,NA,NA,NA,NA,NA,NA,41.77,NA,NA,49.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.99666667,NA,NA,NA,NA,NA,NA,41.89,43.188,NA,NA,NA,NA,NA,43.745,NA,44.10181818,NA,NA,NA,NA,NA,NA,NA,NA,44.986,NA,NA,NA,NA,NA,460.2383333,NA,46.89818182,44.96545455,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.1322222,NA,NA,NA,NA,NA,NA,NA,NA,44.722,NA,NA,NA,46.318,NA,48.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.73,NA,NA,NA,NA,NA,NA,NA,43.1325,39.17
Leaf carbon/nitrogen (C/N) ratio,NA,14.17,NA,24.7,NA,27.85,NA,NA,NA,NA,19.16,NA,NA,NA,NA,NA,23.52,NA,NA,28.7,NA,18.15,NA,NA,NA,NA,NA,NA,NA,NA,25.2,NA,NA,NA,NA,16.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.94,NA,10.8,NA,33.334,20.138,NA,NA,26.9,34.49,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.13,NA,NA,12.328,NA,NA,16.9,24.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,NA,NA,NA,NA,NA,NA,22.076,24.958,NA,NA,NA,NA,NA,NA,NA,20.24357143,NA,NA,NA,26.1,NA,NA,NA,NA,22.336,NA,NA,21.2,NA,NA,NA,NA,23.73,NA,NA,27.2,34,NA,NA,NA,NA,NA,NA,NA,NA,24.654,NA,NA,NA,NA,NA,NA,NA,NA,42.458,NA,NA,NA,24.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.6,NA,NA,NA,NA,25.9,NA,NA,18.948,NA,NA,NA,NA,NA,NA,NA,NA,13.86
Leaf density,NA,0.805833333,NA,0.338333333,0.47,0.404117647,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.623333333,0.29,NA,NA,NA,NA,NA,NA,NA,NA,0.415,0.406666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.478,0.326666667,0.39,NA,NA,NA,NA,NA,NA,NA,0.395,NA,NA,NA,NA,NA,0.415,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.442727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.406,NA,NA,0.35,NA,NA,NA,NA,0.313333333,0.33,NA,0.235,0.454,NA,NA,NA,0.683,NA,NA,NA,NA,0.354,NA,NA,NA,0.551,NA,NA,NA,NA,NA,NA,NA,NA,0.566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,0.343333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leaf dry mass,NA,0.167,NA,709.1566667,NA,51.57428571,NA,NA,42.125,NA,124.02,214.2666667,NA,NA,NA,164.375,2.60047619,5603.08,0.093846154,206.44,20.56,115.7083333,NA,NA,0.035555556,NA,NA,NA,65.86,NA,721.75,NA,NA,NA,NA,69.45,NA,3.454615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.0125,NA,NA,NA,NA,NA,NA,20.825,20.71666667,458.6266667,14.26,NA,12.07363636,1.062,NA,0.021886792,NA,112.2333333,100.5175,NA,NA,5.595,NA,3.435714286,0.211428571,NA,NA,NA,NA,NA,630.14,NA,NA,1.424285714,0.02,NA,137.7,90.95833333,60.38333333,NA,NA,22.45833333,NA,2.16,NA,7.370833333,NA,NA,NA,NA,NA,0.076666667,2439.606316,NA,NA,NA,NA,5.49,13.10333333,3.441428571,0.235135135,NA,12544.16667,0.056,0.362857143,NA,NA,NA,21.78833333,189.845,NA,NA,32.92,727.53,159.9122222,NA,NA,0.023333333,NA,NA,763.64,9.485,NA,8.684,NA,163.2858824,NA,NA,NA,NA,NA,NA,NA,0.073,100.7333333,NA,NA,NA,31.9321875,NA,NA,NA,3.153333333,NA,NA,NA,NA,0.456,NA,NA,NA,0.139262821,NA,83.71,NA,NA,NA,NA,NA,NA,NA,387.6625,2.23,NA,NA,NA,5.88,1428.57,NA,NA,0.176,NA,NA,65.4,3.063333333,NA,NA,NA,0.166666667,123.7766667
Leaf dry mass per plant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.502,3.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028,NA,NA,NA,NA,NA,NA,NA,NA,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.828,NA,NA,NA,NA,NA,NA,2.582,1.106,NA,NA,NA,0.1,NA,NA,NA,0.712,NA,NA,NA,NA,NA,NA,NA,NA,0.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.486,NA,NA,NA,NA,NA,NA,NA,NA,1.096,NA,NA,NA,5.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.694,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",NA,0.57,NA,NA,NA,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.574,NA,0.62,0.6,NA,0.43,NA,NA,NA,NA,0.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.505,0.53,0.48,NA,NA,NA,NA,NA,11.742,29.51,NA,NA,NA,NA,NA,NA,0.65,0.62,NA,NA,28.24285714,NA,NA,NA,NA,NA,NA,NA,NA,12.486,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.794,0.71,NA,NA,NA,0.61,NA,10.18428571,24.406,NA,NA,NA,30.074,NA,NA,NA,9.533333333,NA,NA,NA,0.63,NA,NA,NA,NA,16.018,NA,NA,NA,NA,NA,0.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.912,NA,NA,NA,0.595,NA,NA,NA,NA,21.46,NA,NA,NA,29.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,NA,NA,NA,0.66,NA,NA,NA,21.132,NA,NA,NA,0.57,NA,NA,NA,NA,NA
