Site,River,Site,Area,Bank,sing.sp,FRic,qual.FRic,FEve,FDiv,FDis,RaoQ,CWM.Leaf.area,CWM.Leaf.carbon.nitrogen..C.N..ratio,CWM.Leaf.density,CWM.Leaf.dry.mass,CWM.Leaf.nitrogen.phosphorus..N.P..ratio,CWM.Leaf.potassium..K..content.per.dry.mass,CWM.Leaf.respiration.per.dry.mass,CWM.Leaf.specific.area..SLA.,CWM.Photosynthesis.net.assimilation.rate..NAR.,CWM.Plant.height.generative,CWM.Plant.lifespan,CWM.Reproductive.dry.mass.per.plant,CWM.Root.nitrogen..N..content.per.dry.mass,CWM.Seed.mass,CWM.Seed.number.per.reproduction.unit,
B1GH,Ballston,B1,24,greenline,23,23,4.70E-09,0.13799825,0.670675894,0.634663101,0.044533356,0.003311479,27.48544719,23.17342592,0.399020647,0.13200893,11.26549783,7.350984515,10.47061258,234.1012439,0.000759717,1458.306414,263.666981,0.114,12.91079251,314.5806222,6930.307633
B1GL,Ballston,B1,46,greenline,24,24,4.01E-05,0.13799825,0.669937463,0.582663843,0.053903549,0.002214751,25.65096777,17.20764586,0.456626101,0.089128896,9.575896169,6.353714904,10.30827414,328.8507491,0.002049595,133.7498219,NA,0.259298002,15.17413,12.52165994,46722.58524
B1UH,Ballston,B1,24,upslope,16,16,1.27E-11,0.13799825,0.32865982,0.820569856,0.066852736,0.005624581,48.10655774,24.68750934,0.388298651,0.254402436,11.69899184,9.846877874,9.900542514,230.9822921,0.000505618,2086.678201,324.7447149,NA,13.23618055,437.7397059,85.95
B1UL,Ballston,B1,36,upslope,13,13,9.94E-13,0.13799825,0.348551571,0.599744268,0.061459942,0.004536571,55.59668222,27.0506399,0.375115103,0.292758733,11.68371282,9.633299712,7.626404484,206.4621851,0.000310089,1618.75,313.8599106,2.1,10.78657645,562.5910053,8499.428571
B2GH,Ballston,B2,43,greenline,18,18,1.62E-06,0.13799825,0.52499236,0.487107538,0.073866155,0.006128818,35.59026266,24.74484965,0.398781089,0.243767534,11.98096455,6.890626392,9.568960385,224.8194026,0.000475508,2471.301536,347.3913038,NA,14.53492564,607.8330853,85.95
B2GL,Ballston,B2,50,greenline,34,34,0.00010094,0.13799825,0.56098517,0.798182447,0.090499728,0.009919003,64.19062885,24.81363345,0.354390487,0.505343178,9.361123458,10.74849834,10.34215849,210.9226432,0.001103562,197.5479389,259.6449704,0.547911267,16.67757507,1502.648649,79134.86791
B2UH,Ballston,B2,30,upslope,14,14,5.03E-11,0.13799825,0.280850693,0.597418139,0.019488417,0.000443389,28.97887896,26.62187522,0.329231456,0.218009128,14.99971446,6.263496568,6.132212919,223.9122498,3.00E-04,37.5,403.5714142,NA,10.89341404,58.45946273,NA
B2UL,Ballston,B2,52,upslope,26,26,2.17E-10,0.13799825,0.447976494,0.813678395,0.059145865,0.005377593,42.12347663,22.56819891,0.328463853,0.426422646,12.0867145,10.10878598,7.749674379,216.8699223,0.000481167,345.6493455,243.1763249,NA,16.17011592,590.9888226,3977.352119
I1GH,Indian,I1,37,greenline,41,41,0.005625206,0.13799825,0.592913547,0.646977841,0.071249153,0.004554221,41.70034028,22.48703198,0.417797222,0.240000789,10.49733843,11.35876419,13.97815101,244.4416866,0.001174334,163.5603688,200.3464203,0.545275796,19.33838297,38.27952692,73623.01305
I1GL,Indian,I1,37,greenline,26,26,3.25E-08,0.13799825,0.535083171,0.919723271,0.068766949,0.004815215,13.42444905,22.2045273,0.469470464,0.086405479,10.94045567,11.1149409,29.68260487,221.4113484,0.000833034,65.88782486,200.2371167,0.369284615,19.52925454,11.95457893,7453.852221
I1UH,Indian,I1,56,upslope,41,41,8.97E-07,0.13799825,0.561756193,0.810441981,0.075817967,0.007251162,30.44923784,24.1214452,0.53910834,0.197085331,11.98938834,8.29080614,14.68853305,187.391114,0.000627855,1630.487269,330.484644,0.322522022,13.71319425,411.7358756,117108.5764
I1UL,Indian,I1,36,upslope,25,25,2.72E-08,0.13799825,0.473263577,0.81562757,0.094135454,0.00932649,15.079159,25.49423303,0.367102867,0.102076015,10.5168314,9.024103347,5.046042756,178.4402116,0.001434151,1518.636432,771.9346502,NA,12.19111164,181.440507,5684.845324
I2GH,Indian,I2,44,greenline,26,26,2.45E-05,0.13799825,0.547680961,0.736411272,0.067732726,0.004664265,44.62098024,27.53490646,0.384108822,0.171631789,12.5250291,8.65,6.849183492,233.7145684,0.000493843,1547.298011,418.1818182,0.44200678,10.59055426,38.71897148,8560.858234
I2GL,Indian,I2,45,greenline,33,33,0.081997876,0.13799825,0.504843388,0.645943537,0.027455281,0.000811245,38.9006287,21.86640842,0.347166528,0.148683277,10.46158707,12.76519758,40.07835936,193.280886,0.002169189,295.2398701,200,0.713604027,19.97601096,10.93605504,68927.56091
I2UH,Indian,I2,46,upslope,11,11,6.04E-08,0.13799825,0.479429436,0.608254711,0.090896066,0.007338545,34.23161457,27.50187034,0.396372744,0.13275247,12.39280432,7.55,5.50878512,213.1330252,0.000741909,1961.033666,600,0.114,10.97527478,36.92480834,5030.215385
I2UL,Indian,I2,45,upslope,32,32,5.98E-05,0.13799825,0.537660316,0.705609263,0.076917132,0.00770557,52.00697285,24.37979885,0.443529749,0.330476674,10.65733544,7.828027832,10.39766164,230.2397519,0.000474615,825.3521127,303.4637588,0.594811656,16.52607481,1063.34198,548792.2116
K1GH,Kayaderosseras,K1,50,greenline,14,14,1.55E-10,0.13799825,0.640917266,0.839534067,0.086115717,0.004956568,20.00455566,18.75880289,0.413966243,0.052521711,5.386499356,50.43224273,NA,607.6660918,0.000437022,83.83323201,NA,1.415253742,22.58624787,15.98066999,30319.9343
K1GL,Kayaderosseras,K1,54,greenline,27,27,2.60E-05,0.13799825,0.502562595,0.708501282,0.06553204,0.004417197,44.90064998,21.29472981,0.366457662,0.415000562,12.69079472,11.25349025,12.25921724,204.6105531,0.001967043,38.93487624,68.8034188,0.385702569,13.37081412,2.972065172,49388.14326
K1UH,Kayaderosseras,K1,50,upslope,11,11,8.44E-14,0.13799825,0.467352637,0.956527285,0.113894235,0.016036244,22.81789471,15.50643614,0.715137125,0.12225758,11.73898175,17.89821525,NA,298.0108652,0.001039328,876.8968371,100,1.428333333,17.86905865,19.41007735,22220.10017
K1UL,Kayaderosseras,K1,53,upslope,24,24,1.67E-08,0.13799825,0.512696581,0.871766958,0.098474335,0.010444673,37.33889823,22.92023231,0.503203645,0.11695154,7.973657337,7.931581919,10.58129678,229.2519672,0.002207528,166.5543173,139.1666667,0.148509002,10.38139524,13.72812937,28601.99113
K2GH,Kayaderosseras,K2,62,greenline,43,43,3.657859674,0.13799825,0.54944501,0.646280142,0.119196757,0.018976021,55.15097502,20.7585049,0.331412491,0.373103147,10.59117507,12.32089423,12.55983226,200.9196037,0.000588546,1488.893249,203.7182205,1.272814458,14.94495482,954.1950959,46012.79625
K2GL,Kayaderosseras,K2,65,greenline,16,16,8.30E-12,0.13799825,0.68270994,0.726831862,0.027743007,0.000843897,27.90817326,23.27970712,0.445824967,0.116129223,11.49835332,7.140506329,10.30827414,248.7699459,0.001481045,328.976526,61.66666666,0.609313,NA,27.20116193,32810.39432
K2UH,Kayaderosseras,K2,50,upslope,25,25,5.86E-05,0.13799825,0.652157924,0.624006449,0.09360594,0.009028373,85.15625657,22.26352847,0.427447366,0.581662215,10.64011761,14.47694491,9.721423126,261.0785313,0.000402682,195.2455003,200.7627119,1.130494407,14.87893,24.60040792,474964.5559
K2UL,Kayaderosseras,K2,64,upslope,22,22,1.64E-07,0.13799825,0.672751273,0.668634063,0.09340488,0.010438603,106.486044,20.82027935,0.461121527,0.571080487,12.54491933,11.58538189,12.39634871,207.6821593,0.000816836,1204.426793,226.727921,0.8527,15.01234115,304.1822939,115279.7559
